"","X","rating_review","review","lang","tag","satisfaction_score","review_importance_percentage"
"231",231,4,"mantab","ENGLISH","Satisfied Users","Satisfied","25"
"232",232,5,"3 stars by fitri saja","ENGLISH","Satisfied Users","Satisfied","25"
"233",233,3,"kok di dowloand trcopot sndri sch ","ENGLISH","Satisfied Users","Neutral","25"
"234",234,5,"terimakasih telah banyak membantu ","MALAY","Satisfied Users","Satisfied","50"
"235",235,5,"gojek nomor 1 ","INDONESIAN","Satisfied Users","Satisfied","25"
"236",236,5,"bagus aj ","INDONESIAN","Satisfied Users","Satisfied","25"
"237",237,4,"tanx ","ENGLISH","Satisfied Users","Satisfied","25"
"238",238,5,"karya anak bangsa yang sangat bagus ","MALAY","Satisfied Users","Satisfied","0"
"239",239,4,"oke lah ","MALAY","Satisfied Users","Satisfied","25"
"240",240,4,"lumayan membantu ","INDONESIAN","Satisfied Users","Satisfied","50"
"241",241,5,"5 stars by regita mokoginta","ENGLISH","Satisfied Users","Satisfied","25"
"242",242,5,"bagus bangettttt aku yang gak punya kendaraan bisa terbantu dengan adanya aplikasi ini ","MALAY","Design & UI","Satisfied","75"
"243",243,5,"sangat beanfaat dan membantu terus tingkatkan ","INDONESIAN","Customer Request","Satisfied","50"
"244",244,5,"like ","ENGLISH","Satisfied Users","Satisfied","25"
"245",245,5,"mantap sekali sangat mendukung ","INDONESIAN","Satisfied Users","Satisfied","25"
"246",246,4,"kasih 4 duly nanti kalo pesen lg baru kasih 5 ","INDONESIAN","Satisfied Users","Satisfied","25"
"247",247,5,"sangat membantu dalam memenuhi kebutuhan dlm segi transportasi ","INDONESIAN","Satisfied Users","Satisfied","0"
"248",248,5,"oke ","ENGLISH","Satisfied Users","Satisfied","25"
"249",249,5,"udh bagus dan terus tingkatkan kualitas nya ","INDONESIAN","Customer Request","Satisfied","50"
"250",250,3,"setiap harga orderannya kecil pasti nyari drivernya susah pada gak mau ambil thx ","MALAY","Location Services","Neutral","90"
"251",251,5,"2 stars by rhyma reychila","ENGLISH","Satisfied Users","Satisfied","25"
"252",252,2,"tolong besar kecil nya biaya kan sudah ada nominal perhitungannya sendiri untuk go food mencari driver nya lama susah se kali bisa cancle spihak dr driver hanya karna biaya kirim murahhhhh ","INDONESIAN","Customer Request","Dissatisfied","90"
"253",253,5,"mantep ","ENGLISH","Satisfied Users","Satisfied","25"
"254",254,5,"sangat membantu makasih go jek semoga sukses selalu aamiiin ","MALAY","Satisfied Users","Satisfied","75"
"255",255,5,"okeee ","ENGLISH","Satisfied Users","Satisfied","25"
"256",256,5,"smg pelayanan gojek dan gocar semakin lbh baik lagi dan mnjd alternatif pilihan utama pelanggan ","MALAY","Customer Support","Satisfied","75"
"257",257,4,"yg gak sukanya kalo hbis ujan past jaringannya eror bikin bete ","INDONESIAN","Satisfied Users","Satisfied","25"
"258",258,5,"good app ","ENGLISH","Satisfied Users","Satisfied","25"
"259",259,5,"sopan ","ENGLISH","Satisfied Users","Satisfied","25"
"260",260,5,"5 stars by yusuf manan","INDONESIAN","Satisfied Users","Satisfied","25"
"261",261,5,"sangat membantu ","INDONESIAN","Satisfied Users","Satisfied","25"
"262",262,1,"sory lg ga butuh saya ada motor ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"263",263,1,"ini kenapa error gabisa login punya saya padahal ada isinya kalo gabisa balik kan saya rugi ada kata bertanda error ","MALAY","Bug","Dissatisfied","90"
"264",264,5,"tulisannya kok inggris sih pusing ","INDONESIAN","Satisfied Users","Satisfied","25"
"265",265,5,"good gojek ","ENGLISH","Satisfied Users","Satisfied","25"
"266",266,4,"5 stars by soviet billy","ENGLISH","Satisfied Users","Satisfied","25"
"267",267,5,"tess ","ENGLISH","Satisfied Users","Satisfied","25"
"268",268,4,"3 stars by dewi kelana","ENGLISH","Satisfied Users","Satisfied","25"
"269",269,3,"dicoba dlu klo puas bagus pesan lgi gojek ny ","INDONESIAN","Satisfied Users","Neutral","50"
"270",270,5,"mau donlot tapi memorinya gk cukup","INDONESIAN","Satisfied Users","Satisfied","25"
"271",271,5,"mantap tapi kalo bisa terus tingkatkan pelayanannya ","INDONESIAN","Customer Support","Satisfied","90"
"272",272,3,"pesen go food malah error ga jelas ga ada menunya ","MALAY","Bug","Neutral","75"
"273",273,5,"driver go ridenya baik ","ENGLISH","Location Services","Satisfied","0"
"274",274,3,"oklah membantu ","INDONESIAN","Satisfied Users","Neutral","0"
"275",275,5,"memudahkan kita saat bingung mau pergi naik apa dan saat lapar bisa pesan kapan ajja ","INDONESIAN","Satisfied Users","Satisfied","25"
"276",276,5,"5 stars by yeni ismail","ENGLISH","Satisfied Users","Satisfied","25"
"277",277,5,"5 stars by ayu cahya ningrum","ENGLISH","Satisfied Users","Satisfied","25"
"278",278,5,"aplikasi ini bagus mudah dan juga simpel ","MALAY","Design & UI","Satisfied","75"
"279",279,3,"tolong di tambahkan option komunikasi via chat kayak yg di punya sama grab karena gak semua pengguna punya pulsa dan kasian ke driver kalo harus keluar pulsa trimakasih ","INDONESIAN","Satisfied Users","Neutral","90"
"280",280,2,"sakin ga jelas ","MALAY","Satisfied Users","Dissatisfied","25"
"281",281,4,"dengan teknologi menjadikan aktifitas hidup lebih mudah ","INDONESIAN","Satisfied Users","Satisfied","25"
"282",282,5,"5 stars by yuni wartisia","ENGLISH","Satisfied Users","Satisfied","25"
"283",283,5,"5 stars by lilik yuwono","ENGLISH","Satisfied Users","Satisfied","25"
"284",284,5,"di jogja gojek sangat membantu ","MALAY","Satisfied Users","Satisfied","0"
"285",285,5,"b aja ","INDONESIAN","Satisfied Users","Satisfied","25"
"286",286,4,"bagus tapi lebih bagus lagi kalau kinerjanya di perbaiki lagi ","MALAY","Customer Request","Satisfied","75"
"287",287,2,"saya top up via atm transfer masuk setelah complain dan mnunggu 3 hr terlebih dahulu ","MALAY","Satisfied Users","Dissatisfied","25"
"288",288,1,"gue hapus apk nya gue order rider gda yang accept padahal posisi rider pda deket ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"289",289,1,"payah keseringan driver nya dicancel mulu gmna mau dapat uang kerja ","INDONESIAN","Disatisfied Users","Dissatisfied","90"
"290",290,5,"sejak adanya go jek saya jadi tidak terlambat lagi untuk pergi kerja atau mau ketempat lainnya ","MALAY","Satisfied Users","Satisfied","25"
"291",291,4,"coba dulu ","MALAY","Satisfied Users","Satisfied","25"
"292",292,5,"2 stars by emha diambang ramadhany","MALAY","Satisfied Users","Satisfied","25"
"293",293,2,"tolong perbaiki sistemnya saya order makanan yg jumlahnya tidak banyak selalu ditolak buat apa go food dan merchant biasa gabung kalau saya tidak bisa order dgn jumlah order yg sedikit apakah saya harus order makanan resto dgn jumlah banyak untuk saya makan sendiri supaya order saya diterima driver ","MALAY","Customer Request","Dissatisfied","90"
"294",294,3,"yang lain pada dapet voucher gopay gratis kok saya gak sih ","INDONESIAN","Design & UI","Neutral","75"
"295",295,5,"kalau naik go jek gocar bayarnya murah ","MALAY","Pricing","Satisfied","0"
"296",296,5,"good ","ENGLISH","Satisfied Users","Satisfied","25"
"297",297,3,"new update made this app totally useless for me cant search my location ","ENGLISH","Design & UI","Neutral","90"
"298",298,5,"ojek online terbaik di indonesia good job ","INDONESIAN","Satisfied Users","Satisfied","50"
"299",299,4,"it s great ","ENGLISH","Satisfied Users","Satisfied","25"
"300",300,1,"saya nunggu gocar se jam akhiranya saya telat masuk ujian ","MALAY","Satisfied Users","Dissatisfied","25"
"301",301,5,"tambahkan fitur chat driver customer agar tidak perlu habiskan pulsa ","INDONESIAN","Design & UI","Satisfied","75"
"302",302,3,"gotix bugs","ENGLISH","Bug","Neutral","50"
"303",303,4,"mmmmh ","ENGLISH","Satisfied Users","Satisfied","25"
"304",304,5,"sangat membantu ","INDONESIAN","Satisfied Users","Satisfied","25"
"305",305,4,"driver go jek dan go car yang saya jumpai hampir semuanya ramah terus tingkatkan kualitas pelayanan recomended transportation service ","MALAY","Customer Support","Satisfied","90"
"306",306,5,"latest update makes this app black screen ","ENGLISH","Design & UI","Satisfied","0"
"307",307,5,"gooddddd ","ENGLISH","Satisfied Users","Satisfied","25"
"308",308,5,"ntapz ","ENGLISH","Satisfied Users","Satisfied","25"
"309",309,4,"bagus membantu sekali ","MALAY","Satisfied Users","Satisfied","50"
"310",310,1,"masa driver gojek di banjarmasin gak berani mengganti uang sementara ","INDONESIAN","Location Services","Dissatisfied","90"
"311",311,5,"good application ","ENGLISH","Satisfied Users","Satisfied","25"
"312",312,5,"paling bagus diantara ojek2 online jauh lebih bagus dr grab ","INDONESIAN","Satisfied Users","Satisfied","50"
"313",313,4,"suggestion category and search capability in voucher currently still hard to search specific voucher that i want ","ENGLISH","Customer Support","Satisfied","50"
"314",314,5,"thanks for gojek apps to help my transportation ","ENGLISH","Satisfied Users","Satisfied","0"
"315",315,5,"make it esay to contact everywhere when we need it ","ENGLISH","Customer Request","Satisfied","50"
"316",316,2,"drivernya ga profesional pada jam2 tertentu mereka sulit dibooking banyak dari mereka yang cancel booking go jek dan go car harus berikan punishment yang lebih bagi driver yang cancel setelah di accept banyak dari kami pesan krn darurat ","INDONESIAN","Design & UI","Dissatisfied","90"
"317",317,5,"layanan online yg lengkap untuk masyarakat indonesia transportasi pengiriman pembayaran dan banyak lainnya ","INDONESIAN","Design & UI","Satisfied","50"
"318",318,3,"tolong perbaiki akurasi gps tiap order go food history lokasi tidak akurat posisinya ","INDONESIAN","Customer Request","Neutral","90"
"319",319,5,"aplikasi yang sangat sangat membantu keep gud work guys ","INDONESIAN","Design & UI","Satisfied","75"
"320",320,4,"i think its not fair klo cxl bookingan gojek menurunkan proforma dr drivernya pdhl aplikasi nanya alasannya sangay tdk adil klo cuatomer hanya akan mengganti tipe pembayaran trs driver yg terbatalkan nilainya menurun ","INDONESIAN","Design & UI","Satisfied","90"
"321",321,5,"hero for me ","ENGLISH","Satisfied Users","Satisfied","25"
"322",322,5,"easy to use very helpful and great driver ","ENGLISH","Satisfied Users","Satisfied","75"
"323",323,1,"dear go jek saya sudah menggunakan layanan ini selama 2 tahun dan layanan ini sangat membantu tetapi ada 2 kejadian dimana saya memesan driver kenapa yang datang malah 2 driver kelalaian sistem atau jaringankah mohon tolong penjelasan tentang masalah ini terima kasih ","INDONESIAN","Customer Request","Dissatisfied","90"
"324",324,2,"error melulu parah ","INDONESIAN","Bug","Dissatisfied","75"
"325",325,1,"kenapa selalu di reject waktu verify account nya jd gk bisa trf ","MALAY","Disatisfied Users","Dissatisfied","90"
"326",326,5,"good app ","ENGLISH","Satisfied Users","Satisfied","25"
"327",327,2,"go food saya error gps sudah nyala tapi dia tetap suruh nyalain tolong di perbaiki ya ","MALAY","Customer Request","Dissatisfied","90"
"328",328,5,"so far so good ","ENGLISH","Satisfied Users","Satisfied","25"
"329",329,4,"easy reach ","ENGLISH","Satisfied Users","Satisfied","25"
"330",330,2,"gocar ga ada yang pick up kelamaan nunggu sampai 15 menit belum juga dapat sekalinya dapat suka dicancel ","INDONESIAN","Disatisfied Users","Dissatisfied","90"
"331",331,1,"seharus nya kalau nge tip jangan pake uang nya go pay seharusnya dari aplikasinya ","INDONESIAN","Design & UI","Dissatisfied","90"
"332",332,1,"actually this application really helpful tapi wkt kmrn cari driver utk pick up nympe berkali2 ngga dpt2 bisa ilang customer lama2 kl begini akhirnya saya lsg pake aplikasi satunya dan dy lbh cepet dbanding aplikasi ini ","ENGLISH","Design & UI","Dissatisfied","90"
"333",333,1,"susah nyari dan lama bgt udh 3 kali order pas udh dapet di cancel lagi jelek pelayanannya nyesel download ","INDONESIAN","Customer Support","Dissatisfied","90"
"334",334,2,"when choose 1 movie in gotix always restart the page very annoying please fixed it thanks no update for gotix ","ENGLISH","Satisfied Users","Dissatisfied","50"
"335",335,3,"too many updates ","ENGLISH","Satisfied Users","Neutral","25"
"336",336,5,"good apps ","ENGLISH","Satisfied Users","Satisfied","25"
"337",337,5,"nice ","ENGLISH","Satisfied Users","Satisfied","25"
"338",338,1,"kebanyakan bug nulis notes tombol next malah ilang ","MALAY","Bug","Dissatisfied","90"
"339",339,1,"versi terbarunya gojek nga bagus saya pesan go bluebird tarifny tertulis 33rb pakai go pay tnyt pas turun yang dipake argo dr taksi bluebirdnya 60rb kan sama aja spt tanpa pake aplikadi gojek tahu gt td mending naik grabcar aja yg hargany lbh murah ","INDONESIAN","Pricing","Dissatisfied","90"
"340",340,1,"jelek pelayanan ","INDONESIAN","Customer Support","Dissatisfied","90"
"341",341,5,"good ","ENGLISH","Satisfied Users","Satisfied","25"
"342",342,1,"gara gara sistem baru yang random bukan driver terdekat tiap pesan bisa nunggu minimal 15 menit pindah ke sebelah aja ah ","MALAY","Location Services","Dissatisfied","90"
"343",343,4,"everytime change my fhone can login n make gojek ","ENGLISH","Design & UI","Satisfied","50"
"344",344,5,"membantu ","INDONESIAN","Satisfied Users","Satisfied","25"
"345",345,5,"easy and helpful ","ENGLISH","Satisfied Users","Satisfied","0"
"346",346,5,"gratis voucher 50k perbulan pliss ","INDONESIAN","Customer Support","Satisfied","0"
"347",347,5,"my lifesaver thank you so much for creating this service you don t know how easier my life gets after using gojek for my main transportation your driver in my region i m in jogja are all polite helpful and really kind keep up the good work ","ENGLISH","Satisfied Users","Satisfied","90"
"348",348,5,"very helpful thank you ","ENGLISH","Satisfied Users","Satisfied","0"
"349",349,4,"i ve been using this app since 2016 and it s really helpful for me but it seems that since the new update i can t choose some places for the destination location it freezes after i entered the location so it would be great if you fix that problem ","ENGLISH","Customer Request","Satisfied","90"
"350",350,4,"help full ","ENGLISH","Satisfied Users","Satisfied","25"
"351",351,5,"good ","ENGLISH","Satisfied Users","Satisfied","25"
"352",352,2,"bilangnya go bluebird sudah aktif dan harus update aplikasi nyatanya pas udah diupdate malah blm ada buang kuota org dan php aja nih gojek ","MALAY","Design & UI","Dissatisfied","90"
"353",353,4,"go tix semarang kapan nih ","INDONESIAN","Satisfied Users","Satisfied","25"
"354",354,5,"goodjob ","ENGLISH","Satisfied Users","Satisfied","25"
"355",355,5,"easy use easy transaction ","ENGLISH","Satisfied Users","Satisfied","50"
"356",356,3,"yang lain dapet voucher gopay gratis kok saya nggak ","INDONESIAN","Design & UI","Neutral","75"
"357",357,5,"fine ","ENGLISH","Satisfied Users","Satisfied","25"
"358",358,5,"mantaappl dahhh ","ENGLISH","Satisfied Users","Satisfied","25"
"359",359,5,"thabks gojek ","ENGLISH","Satisfied Users","Satisfied","25"
"360",360,5,"dengan aplikasi ini semuanya bisa lebih mudah mau ngapain aja lebih gampang trimakasih gojek go go go ","INDONESIAN","Satisfied Users","Satisfied","75"
"361",361,5,"bagus ","ENGLISH","Satisfied Users","Satisfied","25"
"362",362,4,"berguna x di batam ","ENGLISH","Satisfied Users","Satisfied","25"
"363",363,5,"terimakasih sudah membantu go jek ","MALAY","Satisfied Users","Satisfied","50"
"364",364,5,"mantap ","INDONESIAN","Satisfied Users","Satisfied","25"
"365",365,5,"pelayanan ok ","INDONESIAN","Customer Support","Satisfied","50"
"366",366,5,"puas banget sama gojek orderan juga sampai tepat waktu ","MALAY","Satisfied Users","Satisfied","0"
"367",367,5,"saya sering order ojek pake go jek ","ENGLISH","Satisfied Users","Satisfied","25"
"368",368,5,"ok anget ","ENGLISH","Satisfied Users","Satisfied","25"
"369",369,1,"gak banget deh pkokx ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"370",370,5,"good aja deh buat aplikasi ini membantu masyarakat umum ","INDONESIAN","Satisfied Users","Satisfied","75"
"371",371,5,"tingkatkan ","INDONESIAN","Customer Request","Satisfied","0"
"372",372,2,"petanya kgk komplit set lokasi penjemputan di gor ciracas kagak keluar ","MALAY","Satisfied Users","Dissatisfied","25"
"373",373,5,"berkat gojek kemana2 gak usah khawatir untuk telat ","INDONESIAN","Satisfied Users","Satisfied","25"
"374",374,4,"good joob ","ENGLISH","Satisfied Users","Satisfied","25"
"375",375,5,"oke ","ENGLISH","Satisfied Users","Satisfied","25"
"376",376,3,"5 stars by arnest ramades","ENGLISH","Satisfied Users","Neutral","25"
"377",377,5,"sejauh ini masih bagus ","INDONESIAN","Satisfied Users","Satisfied","0"
"378",378,4,"semoga amanah ","MALAY","Customer Request","Satisfied","50"
"379",379,2,"sebelumnya saya suka sekali aplikasi ini trus menjadi pelanggan setia gofood tapi sudah satu bulan ini ga pernah bisa order gofood ga dapat2 driver trus padahal sebelumnya lancar aja ","MALAY","Design & UI","Dissatisfied","90"
"380",380,5,"oke deh pokoknya ","INDONESIAN","Satisfied Users","Satisfied","25"
"381",381,5,"jaya terus gojeck banyak membantu ","INDONESIAN","Satisfied Users","Satisfied","0"
"382",382,4,"5 stars by putra jaya pinem","ENGLISH","Satisfied Users","Satisfied","25"
"383",383,5,"5 stars by valenthinus tangdilian","ENGLISH","Satisfied Users","Satisfied","25"
"384",384,5,"nice app ","ENGLISH","Satisfied Users","Satisfied","25"
"385",385,4,"sempurna ","ENGLISH","Satisfied Users","Satisfied","25"
"386",386,5,"tambahin fitur lagi biar mantap biar bisa pesan tiket pesawat kereta ","MALAY","Design & UI","Satisfied","50"
"387",387,4,"tingkatkan lagi ya guys pelayanannya ","MALAY","Customer Support","Satisfied","90"
"388",388,5,"ok ","ENGLISH","Satisfied Users","Satisfied","25"
"389",389,5,"1 stars by grogol 86","ENGLISH","Satisfied Users","Satisfied","25"
"390",390,1,"gocar sering tdk ada pengemudi apalagi kalo hari libur ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"391",391,5,"baru beberapa kali pakai gocar beres semua pokoknya goodjob ","INDONESIAN","Satisfied Users","Satisfied","25"
"392",392,4,"bagus sekali the best lah ","ENGLISH","Satisfied Users","Satisfied","50"
"393",393,5,"customer jng suka ngeluh n banyak mau nya kalaian kalau salah cuman minta maaf tdk ada apresiasinya kalian tinggal buat order yg sesuai dan benar terus duduk manis dan sampai depan pintu kalian coba jd driver jng cuman bs complent rasakan biar tau ","INDONESIAN","Location Services","Satisfied","75"
"394",394,4,"lebih hemat dan cpt ","MALAY","Satisfied Users","Satisfied","25"
"395",395,5,"5 stars by polytron 123","ENGLISH","Satisfied Users","Satisfied","25"
"396",396,5," jos ","ENGLISH","Satisfied Users","Satisfied","25"
"397",397,2,"perbaiki buat go foodnya ","INDONESIAN","Customer Request","Dissatisfied","75"
"398",398,5,"status driverya gak nonggol ama seleaainya ","INDONESIAN","Location Services","Satisfied","0"
"399",399,5,"sangat membantu ","ENGLISH","Satisfied Users","Satisfied","25"
"400",400,3,"kenapa kalo pesen go food yg jaraknya deket malah biaya antarnya kok lebih mahal sedangkan yg jaraknya jauh biayanya lebih murah ","INDONESIAN","Pricing","Neutral","90"
"401",401,4,"1 stars by andika vinandi","ENGLISH","Satisfied Users","Satisfied","25"
"402",402,1,"gps tidak berfungsi kesulitan melakukan order ","MALAY","Location Services","Dissatisfied","90"
"403",403,1,"petanya sering bermasalah ","MALAY","Satisfied Users","Dissatisfied","25"
"404",404,2,"ini gofood bisa d pesen atau tidak ko pesen gofood ga ada respon terus ","INDONESIAN","Design & UI","Dissatisfied","75"
"405",405,5,"boleh irit ","MALAY","Satisfied Users","Satisfied","25"
"406",406,5,"puas banget menarik ","MALAY","Satisfied Users","Satisfied","25"
"407",407,3,"di bandar lampung susah banget cari driver ","MALAY","Location Services","Neutral","75"
"408",408,5,"bagussssss sekali ","MALAY","Satisfied Users","Satisfied","25"
"409",409,3,"susah dapat driver lama mencarinya drivernya ","INDONESIAN","Location Services","Neutral","90"
"410",410,3,"5 stars by een arifin","ENGLISH","Satisfied Users","Neutral","25"
"411",411,5,"sangat membantu tranportasi kerja dan belanja bahkan bisa pesan jemput keluarga di terminal bandara bila kita sibuk kerja gak bisa jemput tetaplah profesional menuju lebih sukses ","MALAY","Satisfied Users","Satisfied","0"
"412",412,5,"2 stars by vincent hambaya","ENGLISH","Satisfied Users","Satisfied","25"
"413",413,2,"gojek skrng sangat mengecewakan jujur saja apk ini kalah sma grab makanya saya udh gk pke ini sejak sya comment dsini ","MALAY","Satisfied Users","Dissatisfied","25"
"414",414,3,"tarifnya makin mahal ","ENGLISH","Pricing","Neutral","75"
"415",415,5,"goodjob memudahkan sekali fitur lengkap interface bagus ","INDONESIAN","Satisfied Users","Satisfied","50"
"416",416,1,"masa saya order beberapakali tapi sering di tuliskan error terus sampe di katakan dimohon menunggu 30 detik terus sampe ngk ada gunanya ni gojek ","MALAY","Bug","Dissatisfied","90"
"417",417,4,"map nya ga sesuai ","INDONESIAN","Location Services","Satisfied","0"
"418",418,5,"5 stars by putri cris","ENGLISH","Satisfied Users","Satisfied","25"
"419",419,5,"saya sering dapat voucher 50rb d bisa order go food tanpa bayar ","MALAY","Customer Support","Satisfied","50"
"420",420,3,"tolong dong di perbaiki lagi menu di gofood banyak yg gk keluar ","MALAY","Customer Request","Neutral","90"
"421",421,5,"bagus sih tapi terkadang di yogya cari go car susah mungkin dihari sabtu dan jam jam sibuk tapi untuk go ride go food saya tdk pernah ada kendala dan selama menggunakan go jek semua pelayanannya memuaskan beda dengan yg sebelah slalu nyasar lama nunggu tdk mau tlp n tdk memberitahu mengerti atau tidak lokasi sehingga harus menunggu tralalu lama go jek slalu tlp duluan n bertanya letak posisi tepatnya dimana itu yang membedakan recomended bgt makasih yg sangat besar buat driver ","MALAY","Satisfied Users","Satisfied","90"
"422",422,4,"mungkin bisa ditambahkan fasilitas chat customer dgn driver ","INDONESIAN","Location Services","Satisfied","75"
"423",423,3,"3 stars by ","ENGLISH","Satisfied Users","Neutral","25"
"424",424,3,"suka lama dpt balasannya klau kota mesan di jam sibuk sering ditolak ","MALAY","Satisfied Users","Neutral","25"
"425",425,5,"okelah ","INDONESIAN","Satisfied Users","Satisfied","25"
"426",426,1,"aplikasi gofood tdk bs berfungsi aplikasi ydk menampilkan gbr menu sperti biasanya sy harap sgera d repair kmbli ","INDONESIAN","Design & UI","Dissatisfied","90"
"427",427,5,"sangat disayangkan kalo kolom catatan tambahannya dihilangkan padahal itu sangat berguna sik apalagi buat catatan tambahan alamat ","MALAY","Satisfied Users","Satisfied","25"
"428",428,2,"tadinya gpang pesen go food pas di perbarui alah ribet gak jelas susah pokoknya nyesel di perbarui bikin males pesen go food pake gojek ","MALAY","Disatisfied Users","Dissatisfied","90"
"429",429,5,"4 stars by hedti sirait","ENGLISH","Satisfied Users","Satisfied","25"
"430",430,4,"suka suka map tidak ke detect ","MALAY","Location Services","Satisfied","50"
"431",431,5,"membantu disaat dibutuhkan ","INDONESIAN","Satisfied Users","Satisfied","0"
"432",432,5,"terbantu ","ENGLISH","Satisfied Users","Satisfied","25"
"433",433,5,"baguss ","ENGLISH","Satisfied Users","Satisfied","25"
"434",434,5,"kalo bisa di tambahin aplikasi live chat sperti kompetitor dari negri sebrang agar bisa lebih mudah berkomunikasi sama driver gojek kasian driver gojek harus isi plsa trus menerus dan live chat pasti akan memudahkan custemer trimakasih pt gojek indonesia smoga saran saya di dengar hormat saya maju trus gojek indonesia ","MALAY","Design & UI","Satisfied","90"
"435",435,5,"juara ","ENGLISH","Satisfied Users","Satisfied","25"
"436",436,3,"tolong gojek kl lg musim liburan jgn buffering trz kelamaan yg nunggu ","MALAY","Customer Request","Neutral","75"
"437",437,5,"sangat baik ","INDONESIAN","Satisfied Users","Satisfied","25"
"438",438,5,"the best ","ENGLISH","Satisfied Users","Satisfied","25"
"439",439,5,"mantap kalo bisa semua pembayaran bisa dilakukan melalui go pay ","INDONESIAN","Satisfied Users","Satisfied","25"
"440",440,5,"sangat membantu gojek ","MALAY","Satisfied Users","Satisfied","0"
"441",441,5,"4 stars by reni septiani","ENGLISH","Satisfied Users","Satisfied","25"
"442",442,4,"gofood ok tapi lumayan lama nunggunya jaraknya kali yeee ","INDONESIAN","Satisfied Users","Satisfied","50"
"443",443,3,"kalo pesan go jek atau go car kadang udah 1 jm lebih nggak ada driver yg mau nganterin bahkan udah 2x di pesen tapi gak nongol ini drivernya pilih org atau gmna kalo go food sejauh ini bagus utk melayani ","MALAY","Location Services","Neutral","90"
"444",444,5,"mantabbb ","ENGLISH","Satisfied Users","Satisfied","25"
"445",445,4,"sangat terbantu dengan adanya gojek ","MALAY","Satisfied Users","Satisfied","25"
"446",446,4,"tolong dong tampilkan jenis motor nya ","INDONESIAN","Customer Request","Satisfied","50"
"447",447,5,"mohon agar penumpang atau orderan terlalu lama menunggu terimakasih ","INDONESIAN","Satisfied Users","Satisfied","50"
"448",448,3,"drivernya suka minta di cancel kalo kejauhan sm macet kalo emang kejauhan atau macet alesannya kenapa di ambil orderan dari penumpang suka aneh deh kan jadi buang2 waktu harusnya bs lebih cepet sampai tujuan gara2 driver ngasih alesan seperti itu jd order ulang lg terlalu sering saya ngalamin hal kayak gitu sama ditingkatin lagi dong komunikasi antara driver sm penumpang kayak chat whatsapp seperti pny grab thanks ","MALAY","Location Services","Neutral","90"
"449",449,5,"super murah ","INDONESIAN","Pricing","Satisfied","0"
"450",450,5,"a1 pokoknya ","INDONESIAN","Satisfied Users","Satisfied","25"
"451",451,2,"dari semua pengalaman saya memesan makanan via gojek harga makanan yang tertera saat sedang diantarkan selalu lebih mahal dibandingkan sebelum kita menekan tombol mencari driver tolong update harga yg tertera pada aplikasi ","INDONESIAN","Design & UI","Dissatisfied","90"
"452",452,4,"tidak bisa spin token ","INDONESIAN","Satisfied Users","Satisfied","25"
"453",453,5,"5 stars by putri nugraheni9","INDONESIAN","Satisfied Users","Satisfied","25"
"454",454,5,"best ","ENGLISH","Satisfied Users","Satisfied","25"
"455",455,3,"5 stars by jhon rudolfs","ENGLISH","Satisfied Users","Neutral","25"
"456",456,5,"sangat membantu semoga gojek semakin banyak layanannya ","INDONESIAN","Customer Request","Satisfied","50"
"457",457,3,"lumayan lah ","ENGLISH","Satisfied Users","Neutral","50"
"458",458,5,"bagus sangat membantu masyarakat indonesia ","INDONESIAN","Satisfied Users","Satisfied","0"
"459",459,2,"di bogor susah sekali dapat driver gocar akhirnya batalin pesanan susah kembali ke home aplikasi payah ","INDONESIAN","Design & UI","Dissatisfied","90"
"460",460,4,"mempermudah dalam perjalanan ","INDONESIAN","Satisfied Users","Satisfied","25"
"461",461,2,"ehhh kalo kerja tuh yang bener huakn jya ada pelanggan orderam nya ga di ambil trus udh nunggu lama di cancel sama driver nya ","MALAY","Location Services","Dissatisfied","90"
"462",462,4,"kenapa gpsnya selalu kurang akurat rumah saya dimana letak gps dimana mohon diperbaiki kembali ","INDONESIAN","Customer Request","Satisfied","90"
"463",463,1,"dibilang kode vefrifikasi sudah dikirim padahal belum no hp saya benar kok ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"464",464,5,"good app ","ENGLISH","Satisfied Users","Satisfied","25"
"465",465,5,"tidak lengkap alamat di map ","INDONESIAN","Location Services","Satisfied","0"
"466",466,5,"i like it semua sudah complete pada go jek salutte udh punya app ini maju terus aplikasi from ina ","INDONESIAN","Design & UI","Satisfied","75"
"467",467,5,"1 stars by erna agustina","ENGLISH","Satisfied Users","Satisfied","25"
"468",468,1,"lama dpt driver nya payah ","ENGLISH","Location Services","Dissatisfied","90"
"469",469,2,"males upgrade terus ","ENGLISH","Satisfied Users","Dissatisfied","25"
"470",470,5,"good aplicasi ","ENGLISH","Satisfied Users","Satisfied","25"
"471",471,5,"2 stars by viika puspa","ENGLISH","Satisfied Users","Satisfied","25"
"472",472,2,"tolong dong untuk para gojek saya pesen gofodd dngan nominal diatas 100rb tdak da yg mw ngambil sdngkan ongkos ojek nya mahal tdk sprti biasa nya ","INDONESIAN","Customer Request","Dissatisfied","90"
"473",473,1,"ih ","ENGLISH","Satisfied Users","Dissatisfied","25"
"474",474,3,"5 stars by infanyel tampubolon","ENGLISH","Satisfied Users","Neutral","25"
